CID,Syn
1,Acetyl carnitine
1,O-acetylcarnitine
1,DL-O-Acetylcarnitine
1,DL-Acetylcarnitine
1,Nicetile
1,Acetyllcarnitine
1,Levocarnitine acetyl
1,ALCAR
1,O-Acetyl-L-carnitine
1,L-ACETYLCARNITINE
1,(+/-)-acetylcarnitine
1,CID1
1,UNII-07OP6H4V4A
1,bmse000142
1,SCHEMBL69781
1,07OP6H4V4A
1,C9H17NO4
1,3-acetyloxy-4-(trimethylazaniumyl)butanoate
1,DTXSID2048117
1,CHEBI:73024
1,3-(acetyloxy)-4-(trimethylazaniumyl)butanoate
1,AC1L1894
1,C9-H17-N-O4
1,LMFA07070060
1,14992-62-2
1,AS-82719
1,LS-17075
1,HY-126358
1,LS-173362
1,3-(acetyloxy)-4-(trimethylammonio)butanoate
1,CS-0102945
1,FT-0778235
1,NS00074255
1,(3R)-3-acetyloxy-4-(trimethylazaniumyl)butanoate
1,"1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt"
1,"Ammonium, (3-carboxy-2-hydroxypropyl)trimethyl-, hydroxide, inner salt, acetate, DL-"
1,Q27140241
1,3040-38-8
1,870-77-9
1,"1-Propanaminium, 2-(acetoxy)-3-carboxy-N,N,N-trimethyl-, hydroxide, inner salt, (+-)- (9CI)"
1,"1-Propanaminium, 2-(acetoxy)-3-carboxy-N,N,N-trimethyl-, hydroxide, inner salt, (+)-"
1,"1-Propanaminium, 2-(acetoxy)-3-carboxy-N,N,N-trimethyl-, hydroxide, inner salt, (+-)-"
1,5080-50-2
2,acetylcarnitine
2,Acetyl-DL-carnitine
2,ACMC-20ls4e
2,CID2
2,SCHEMBL3259109
2,CHEMBL1625375
2,RDHQFKQIGNGIED-UHFFFAOYSA-N
2,AC1L1897
2,ALBB-032444
2,AKOS024284761
2,MCULE-4252227019
2,AN-16201
2,ST079275
2,3-Acetoxy-4-(trimethylaminio)butanoic acid
2,LS-187296
2,C02571
2,(2-acetoxy-3-carboxy-propyl)-trimethyl-ammonium
2,(3R)-3-acetyloxy-4-(trimethylamino)butanoic acid
2,992A622
2,(2-acetyloxy-4-hydroxy-4-oxobutyl)-trimethylazanium
2,"1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, (2R)-"
2,"1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt"
2,14992-62-2
2,"R-(-)-2-ACETOXY-3-CARBOXY-N,N,N-TRIMETHYL-1-PROPANAMINIUM HYDROCHLORIDE"
2,5080-50-2
2,89946-58-7
3,AC1Q2APQ
3,CID3
3,ACMC-20c83v
3,SCHEMBL638361
3,"2,3-dihydroxy-2,3-dihydrobenzoic acid"
3,AC1L189A
3,CHEBI:15941
3,CTK3J8963
3,DTXSID30274252
3,"2,3-dihydro-2,3-dihydroxybenzoic acid"
3,AR-1G6178
3,"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid"
3,"5,6-dihydroxy-1,3-cyclohexadiene-1-carboxylic acid"
3,C04171
3,100459-00-5
3,Q27098309
