CID,Syn
702,4260-EP2298748A2
702,4260-EP2298750A1
702,4260-EP2298761A1
702,4260-EP2298762A2
702,4260-EP2298770A1
702,4260-EP2298775A1
702,4260-EP2298776A1
702,4260-EP2298780A1
702,4260-EP2301536A1
702,4260-EP2301538A1
702,4260-EP2301544A1
702,4260-EP2301627A1
702,4260-EP2301923A1
702,4260-EP2301928A1
702,4260-EP2301930A1
702,4260-EP2301934A1
702,4260-EP2301939A1
702,4260-EP2305250A1
702,4260-EP2305644A1
702,4260-EP2305648A1
702,4260-EP2305652A2
702,4260-EP2305660A1
702,4260-EP2305671A1
702,4260-EP2305676A1
702,4260-EP2305681A1
702,4260-EP2305682A1
702,4260-EP2305684A1
702,4260-EP2305687A1
702,4260-EP2305689A1
702,4260-EP2305695A2
702,4260-EP2305696A2
702,4260-EP2305697A2
702,4260-EP2305698A2
702,4260-EP2305769A2
702,4260-EP2305808A1
702,4260-EP2308833A2
702,4260-EP2308840A1
702,4260-EP2308841A2
702,4260-EP2308844A2
702,4260-EP2308845A2
702,4260-EP2308846A2
702,4260-EP2308848A1
702,4260-EP2308849A1
702,4260-EP2308850A1
702,4260-EP2308851A1
702,4260-EP2308852A1
702,4260-EP2308861A1
702,4260-EP2308867A2
702,4260-EP2308870A2
702,4260-EP2308872A1
702,4260-EP2308873A1
702,4260-EP2308875A1
702,4260-EP2308876A1
702,4260-EP2308879A1
702,4260-EP2311453A1
702,4260-EP2311455A1
702,4260-EP2311802A1
702,4260-EP2311803A1
702,4260-EP2311806A2
702,4260-EP2311807A1
702,4260-EP2311808A1
702,4260-EP2311821A1
702,4260-EP2311824A1
702,4260-EP2311825A1
702,4260-EP2311826A2
702,4260-EP2311829A1
702,4260-EP2311830A1
702,4260-EP2311831A1
702,4260-EP2311838A1
702,4260-EP2311840A1
702,4260-EP2311842A2
702,4260-EP2314295A1
702,4260-EP2314576A1
702,4260-EP2314586A1
702,4260-EP2314593A1
702,4260-EP2315502A1
702,4260-EP2316452A1
702,4260-EP2316824A1
702,4260-EP2316827A1
702,4260-EP2316829A1
702,4260-EP2316831A1
702,4260-EP2316835A1
702,4260-EP2316836A1
702,4260-EP2316905A1
702,4260-EP2316906A2
702,4260-EP2371813A1
702,4260-EP2374454A1
702,4260-EP2374790A1
702,4260-EP2377845A1
702,4260-EP2377849A2
702,4260-EP2380874A2
702,C00469
702,D00068
702,"Ethanol, >=99.5%, suitable for fluorescence"
702,"Ethanol, Alcohol Reagent, anhydrous, denatured"
702,Ethyl Alcohol 95% (Grain Derived) FCC Grade
702,Ethyl Alcohol 95% (Synthetic) ACS/USP Grade
702,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H"
702,28147-EP2277868A1
702,28147-EP2277869A1
702,28147-EP2277870A1
702,28147-EP2295422A2
702,28147-EP2298305A1
702,28147-EP2298769A1
702,28147-EP2308852A1
702,28147-EP2308878A2
702,28147-EP2313400A1
702,28147-EP2371823A1
702,48516-EP2311824A1
702,48516-EP2311828A1
702,48516-EP2380568A1
702,"Ethanol denatured, anhydrous 94.0-96.0% ACS"
702,ETHANOL LG 20L DENATURED 95% CDA 3A.
702,D000431
702,D000438
702,"Ethanol, >10 - 24% in a non hazardous diluent"
702,"Ethanol, >24 - 50% in a non hazardous diluent"
702,"Ethanol, 99.9%, ACS/HPLC Certified - 1L 1l"
702,Ethyl Alcohol Absolute (Synthetic) ACS/USP Grade
702,SR-01000944357
702,STANDARD ETHANOL 64-17-5 VOA MIX 1 ML
702,"Ethanol, puriss. p.a., absolute, >=99.8% (GC)"
702,SR-01000944357-1
702,"Ethanol, 99.5%, SuperDry, with molecular sieves, J"
702,"Ethanol, denatured (5 % IPA, 5 % n-propylacetate)"
702,I14-12648
702,REAGENT ALCOHOL ANHYD 64-17-5 LAB + 4X4L
702,"Reagent Alcohol, used for histology tissue preparation"
702,"Ethanol, anhydrous, denatured, Spectrophotometric Grade"
702,"Ethyl alcohol, Pure, 190 proof, for molecular biology"
702,"Ethyl alcohol, Pure, 200 proof, anhydrous, >=99.5%"
702,"Ethyl alcohol, Pure, 200 proof, for molecular biology"
702,"3,6,9,12,15,18,21,24-OCTAOXAHEXACOSAN-1-OL"
702,"Ethanol denatured 92-94% for histology, for biochemistry"
702,"Ethanol, absolute, >=99.8% (GC), sales not in Germany"
702,"Ethyl Alcohol Absolute (Dehydrated) USP, BP/EP, JP Grade"
702,"Ethyl alcohol, Pure, 200 proof, ACS reagent, >=99.5%"
702,"Reagent Alcohol, 70%, used for histology tissue preparation"
702,"Reagent Alcohol, 80%, used for histology tissue preparation"
702,1E37B0D2-6209-4B03-A57D-500F3223C2DA
702,68475-56-9
702,"Alcohol, United States Pharmacopeia (USP) Reference Standard"
702,EOH
702,"Ethanol, >=99.5%, suitable for absorption spectrum analysis"
702,"Ethanol-water solutions, NIST(R) SRM(R) 1828b, six levels"
702,"Ethyl alcohol, Pure, 200 proof, HPLC/spectrophotometric grade"
702,"Reagent Alcohol, 95%, Used for histology tissue preparation"
702,"Alcohol, anhydrous, Reagent Grade for histology, J.T. Baker(R)"
702,"Ethanol solution, NIST(R) SRM(R) 2897a, nominal mass fraction 2%"
702,"Ethanol solution, NIST(R) SRM(R) 2898a, nominal mass fraction 6%"
702,"Ethanol solution, NIST(R) SRM(R) 2899a, nominal 25% by mass"
702,"Ethanol, p.a., ACS reagent, reag. ISO, reag. Ph. Eur., 99.9%"
702,"Ethanol, suitable for 300 per JIS, >=99.5%, for residue analysis"
702,"Ethyl alcohol, Pure, 190 proof, meets USP testing specifications"
702,"Ethyl alcohol, Pure, 200 proof, anhydrous, ZerO2(TM), >=99.5%"
702,"Ethyl alcohol, Pure, 200 proof, meets USP testing specifications"
702,"Specially Denatured Alcohol, 190 proof, SDA 23A, contains Acetone"
702,"Specially Denatured Alcohol, 190 proof, SDA 2B-3, contains Toluene"
702,"Specially Denatured Alcohol, 190 proof, SDA 30, contains Methanol"
702,"Specially Denatured Alcohol, 190 proof, SDA 3A, contains Methanol"
702,"Specially Denatured Alcohol, 200 proof, SDA 23A, contains Acetone"
702,"Specially Denatured Alcohol, 200 proof, SDA 2B-3, contains Toluene"
702,"Specially Denatured Alcohol, 200 proof, SDA 30, contains Methanol"
702,"Specially Denatured Alcohol, 200 proof, SDA 3A, contains Methanol"
702,1516-08-1
702,67762-41-8
702,71329-38-9
702,925-93-9
702,"Alcohol =82-86%, Reagent Grade (denatured with methanol and isopropanol)"
702,"Alcohol, Pharmaceutical Secondary Standard; Certified Reference Material"
702,"Dehydrated Alcohol, United States Pharmacopeia (USP) Reference Standard"
702,EOX
702,eth
702,"Ethanol denatured =92.0%, OmniSolv(R) (denatured with 5% methanol)"
702,"Ethanol Fixative 80% v/v, suitable for fixing solution (blood films)"
702,"Ethanol solution, certified reference material, 2000 mug/mL in methanol"
702,"Ethanol standards 10% (v/v), 10 % (v/v) in H2O, analytical standard"
702,"Ethanol, absolute, for gradient elution, sales not in Germany, >=99.9%"
702,"Ethanol, absolute, for HPLC, sales not in Germany1, >=99.8% (GC)"
702,"Ethanol, absolute, semiconductor grade PURANAL(TM) (Honeywell 17826)"
702,"Ethanol, suitable for 1000 per JIS, >=99.5%, for residue analysis"
702,"Ethanol-water solution, NIST(R) SRM(R) 2894, nominal mass fraction 0.1%"
702,"Ethanol-water solution, NIST(R) SRM(R) 2895, nominal mass fraction 0.2%"
702,"Ethanol-water solution, NIST(R) SRM(R) 2896, nominal mass fraction 0.3%"
702,"Ethanol-water solution, NIST(R) SRM(R) 2900, nominal 95.6% by mass"
702,"Ethyl Alcohol Absolute (Dehydrated, Synthetic) USP, BP/EP, JP Grade"
702,"Ethyl alcohol, Pure, 140 proof, Excise Tax-free, Permit for use required"
702,"Ethyl alcohol, Pure, 160 proof, Excise Tax-free, Permit for use required"
702,"Ethyl alcohol, Pure, 190 proof, ACS spectrophotometric grade, 95.0%"
702,Lux
702,"Specially Denatured Alcohol, 190 proof, SDA 2B-4, contains Heptanes"
702,"Specially Denatured Alcohol, 190 proof, SDA 2B-4, contains n-Heptane"
702,"Specially Denatured Alcohol, 190 proof, SDA 2B-5, contains n-Hexane"
702,"Specially Denatured Alcohol, 190 proof, SDA 35A, contains Ethyl acetate"
702,"Specially Denatured Alcohol, 190 proof, SDA 3C, contains Isopropanol"
702,"Specially Denatured Alcohol, 200 proof, SDA 2B-4, contains Heptanes"
702,"Specially Denatured Alcohol, 200 proof, SDA 2B-4, contains n-Heptane"
702,"Specially Denatured Alcohol, 200 proof, SDA 2B-5, contains n-Hexane"
702,"Specially Denatured Alcohol, 200 proof, SDA 35A, contains Ethyl acetate"
702,"Specially Denatured Alcohol, 200 proof, SDA 3C, contains Isopropanol"
702,"3,6,9,12,15,18,21,24,27,30,33,36,39-Tridecaoxahentetracontane-1,41-diol"
702,"Alcohol Determination-Alcohol, United States Pharmacopeia (USP) Reference Standard"
702,"Alcohol, Proprietary Solvent III-1, anhydrous, BAKER ANALYZED(R), J.T. Baker(R)"
702,"Dehydrated Alcohol, Pharmaceutical Secondary Standard; Certified Reference Material"
702,"Ethanol =99.9% (by GC), LiChrosolv(R), gradient grade for liquid chromatography"
702,"Ethanol Calibration Kit, ampule of 10 x 1.2 mL, certified reference material"
702,"Ethanol denatured (denatured with 4% MIBK and kerosene), Macron Fine Chemicalstrade mark"
702,"Ethanol, absolute, reag. ISO, reag. Ph. Eur., >=99.8% (GC), liquid (clear, colorless)"
702,"Ethanol, puriss. p.a., ACS reagent, absolute alcohol, without additive, A15 o1, >=99.8%"
702,"Ethanol, puriss. p.a., ACS reagent, prima fine spirit, without additive, F15 o1, ~96%"
702,"Ethanol, puriss., meets analytical specification of Ph.??Eur., BP, 96% (v/v)"
702,"Ethanol, puriss., meets analytical specification of Ph.??Eur., BP, 96.0-97.2%"
